lineNo,productId,productName,variantId,variantName,variantSku,imei,quantity,groupRef
"1","55d0661fa0e48ae1f3f64f99","Dell Dell Latitude","c887b005fca90b6b62c5b545","","LAP-12529","35100000077111","5","GRP-001"
"2","55d0661fa0e48ae1f3f64f99","Dell Dell Latitude","c887b005fca90b6b62c5b545","","LAP-12529","35100000077112","5","GRP-001"
"3","55d0661fa0e48ae1f3f64f99","Dell Dell Latitude","c887b005fca90b6b62c5b545","","LAP-12529","35100000077113","5","GRP-001"
"4","55d0661fa0e48ae1f3f64f99","Dell Dell Latitude","c887b005fca90b6b62c5b545","","LAP-12529","35100000077114","5","GRP-001"
"5","55d0661fa0e48ae1f3f64f99","Dell Dell Latitude","c887b005fca90b6b62c5b545","","LAP-12529","35100000077115","5","GRP-001"
"6","cc35043954afbbaa38218df7","Vivo Z1 Pro","aab5c9803bc9e99961b0b1cf","","MOB-10275","35100000077116","1","GRP-002"
"7","b0a2f44955b4a8576afad665","ASUS ASUS VivoBook","b7dfd0521d81c0600ec1b160","","LAP-13918","35100000077117","1","GRP-003"
"8","e1634eb3d8164487ac1a551b","Realme P1 Pro 5G","09e9a81a95c121b8dc73d523","","MOB-10482","35100000077118","3","GRP-004"
"9","e1634eb3d8164487ac1a551b","Realme P1 Pro 5G","09e9a81a95c121b8dc73d523","","MOB-10482","35100000077119","3","GRP-004"
"10","e1634eb3d8164487ac1a551b","Realme P1 Pro 5G","09e9a81a95c121b8dc73d523","","MOB-10482","35100000077120","3","GRP-004"
"11","56b1b54f1e271aa74ae660b1","Dell Precision 5760 Laptop","bd2472f4607ea731cdcd7523","","LAP-13008","35100000077121","4","GRP-005"
"12","56b1b54f1e271aa74ae660b1","Dell Precision 5760 Laptop","bd2472f4607ea731cdcd7523","","LAP-13008","35100000077122","4","GRP-005"
"13","56b1b54f1e271aa74ae660b1","Dell Precision 5760 Laptop","bd2472f4607ea731cdcd7523","","LAP-13008","35100000077123","4","GRP-005"
"14","56b1b54f1e271aa74ae660b1","Dell Precision 5760 Laptop","bd2472f4607ea731cdcd7523","","LAP-13008","35100000077124","4","GRP-005"
"15","ca9135ebe04404a592f663fc","ROKC ROKC Laptop","9e242cfec846a64522f59fda","","LAP-11411","35100000077125","4","GRP-006"
"16","ca9135ebe04404a592f663fc","ROKC ROKC Laptop","9e242cfec846a64522f59fda","","LAP-11411","35100000077126","4","GRP-006"
"17","ca9135ebe04404a592f663fc","ROKC ROKC Laptop","9e242cfec846a64522f59fda","","LAP-11411","35100000077127","4","GRP-006"
"18","ca9135ebe04404a592f663fc","ROKC ROKC Laptop","9e242cfec846a64522f59fda","","LAP-11411","35100000077128","4","GRP-006"
"19","042cf671f9721b0d07464f65","Dell Inspiron","6492c2f39cf97f7a77298ea4","","LAP-13532","35100000077129","1","GRP-007"
"20","78e6c09982ae7dfcce24a83c","Lenovo Lenovo Laptop","59a1195da965737d86ba2995","","LAP-13075","35100000077130","3","GRP-008"
"21","78e6c09982ae7dfcce24a83c","Lenovo Lenovo Laptop","59a1195da965737d86ba2995","","LAP-13075","35100000077131","3","GRP-008"
"22","78e6c09982ae7dfcce24a83c","Lenovo Lenovo Laptop","59a1195da965737d86ba2995","","LAP-13075","35100000077132","3","GRP-008"
"23","90476c16831eaea909cbe11e","Dell Latitude 3540 Laptop","d7d4e84837fbdc5b6d1e3809","","LAP-14951","35100000077133","1","GRP-009"
"24","6793241ef0b507a7f69903f9","Dell Alienware","16a5bcdb5b4bac19b782af15","","LAP-12603","35100000077134","3","GRP-010"
"25","6793241ef0b507a7f69903f9","Dell Alienware","16a5bcdb5b4bac19b782af15","","LAP-12603","35100000077135","3","GRP-010"
"26","6793241ef0b507a7f69903f9","Dell Alienware","16a5bcdb5b4bac19b782af15","","LAP-12603","35100000077136","3","GRP-010"
"27","26a6f58f44fc108fea7a94ed","Generic HiFuture Aix Luxury Smart Watch","888a553b801ec03bf766ffc0","","SW-16411","35100000077137","1","GRP-011"
"28","0c5dd48ba870dee50dab6d8b","MSI Pulse GL66","278333de390bb5690a47d6b2","","LAP-11179","35100000077138","3","GRP-012"
"29","0c5dd48ba870dee50dab6d8b","MSI Pulse GL66","278333de390bb5690a47d6b2","","LAP-11179","35100000077139","3","GRP-012"
"30","0c5dd48ba870dee50dab6d8b","MSI Pulse GL66","278333de390bb5690a47d6b2","","LAP-11179","35100000077140","3","GRP-012"
"31","4e97e92527d19323c9f4535e","MSI Vector GP66 12UGS-267","a15a3139cea65f8cea63b1a3","","LAP-14926","35100000077141","4","GRP-013"
